rank,name,research,ratio,entry,honours,prospects
1,Cambridge     ,7.143,40.667,5.818,14.6,11.6
7,Durham     ,25.714,51.333,18.727,21.2,24.1
12,Exeter     ,32.857,56,30.727,20.2,31.5
14,Bath     ,25.714,55.333,22.182,22.7,19
17,Edinburgh     ,28.571,44.333,21.818,20.1,25.1
27,Aston     ,44.286,58,36.182,34.2,23.6
28,Cardiff     ,35.714,47.667,30.727,32.4,26.5
41,Essex     ,31.429,47,43.818,39.6,37.2
51,Brunel     ,55.714,54.333,43.091,36.3,36.4
73,Coventry     ,85.714,67.333,52.545,39.6,38
86,Chester     ,92.857,59.667,50.182,45.7,42.4
99,Abertay     ,90,67.667,52,52.4,48.6
